date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:31	133/133	---MC-	200	added ('OK')	text/plain	date:Fri,%2019%20Sep%202025%2015:56:28%20GMT	https://www.cigna-baruffi-garelli.edu.it/robots.txt		(from )
17:56:31	287508/287508	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Sep%202025%2015:56:28%20GMT	https://www.cigna-baruffi-garelli.edu.it/	C:/Users/enric/OneDrive/Desktop/Nuova%20cartella/23/www.cigna-baruffi-garelli.edu.it/index.html	(from )
17:56:32	9511/9511	---M--	200	added ('OK')	image/svg+xml	etag:%222527-63db893c98bc0%22	https://www.cigna-baruffi-garelli.edu.it/wp-content/uploads/2025/08/favicon-128x128-1.svg	C:/Users/enric/OneDrive/Desktop/Nuova%20cartella/23/www.cigna-baruffi-garelli.edu.it/wp-content/uploads/2025/08/favicon-128x128-1.svg	(from https://www.cigna-baruffi-garelli.edu.it/)
17:56:32	93245/93245	---M--	200	added ('OK')	image/jpeg	etag:%2216c3d-63db893d8ce00%22	https://www.cigna-baruffi-garelli.edu.it/wp-content/uploads/2025/08/mondovi.jpg	C:/Users/enric/OneDrive/Desktop/Nuova%20cartella/23/www.cigna-baruffi-garelli.edu.it/wp-content/uploads/2025/08/mondovi.jpg	(from https://www.cigna-baruffi-garelli.edu.it/)
17:56:32	24304/24304	---M-Z	200	added ('OK')	application/javascript	etag:%225ef0-63ed2d73f7b84-gzip%22	https://cdn-cookieyes.com/client_data/78619dda31263ee22e6f2b1d/script.js	C:/Users/enric/OneDrive/Desktop/Nuova%20cartella/23/cdn-cookieyes.com/client_data/78619dda31263ee22e6f2b1d/script.js	(from https://www.cigna-baruffi-garelli.edu.it/)
17:56:33	2947/2947	---M--	200	added ('OK')	text/css	etag:%22b83-63db89415d700%22	https://www.cigna-baruffi-garelli.edu.it/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.1	C:/Users/enric/OneDrive/Desktop/Nuova%20cartella/23/www.cigna-baruffi-garelli.edu.it/wp-content/plugins/contact-form-7/includes/css/styles6a4d.css	(from https://www.cigna-baruffi-garelli.edu.it/)
17:56:33	7299/7299	---MC-	200	added ('OK')	application/rss+xml	etag:%2260b51d300e09e7755537c88fe6d362cf%22	https://www.cigna-baruffi-garelli.edu.it/feed/	C:/Users/enric/OneDrive/Desktop/Nuova%20cartella/23/www.cigna-baruffi-garelli.edu.it/feed/index.html	(from https://www.cigna-baruffi-garelli.edu.it/)
17:56:33	758/758	---MC-	200	added ('OK')	application/rss+xml	etag:%2260b51d300e09e7755537c88fe6d362cf%22	https://www.cigna-baruffi-garelli.edu.it/comments/feed/	C:/Users/enric/OneDrive/Desktop/Nuova%20cartella/23/www.cigna-baruffi-garelli.edu.it/comments/feed/index.html	(from https://www.cigna-baruffi-garelli.edu.it/)
17:56:33	623/623	---M--	200	added ('OK')	text/css	etag:%2226f-63db893f75280%22	https://www.cigna-baruffi-garelli.edu.it/wp-content/themes/design-scuole-wordpress-theme-main/style.css?ver=6.8.2	C:/Users/enric/OneDrive/Desktop/Nuova%20cartella/23/www.cigna-baruffi-garelli.edu.it/wp-content/themes/design-scuole-wordpress-theme-main/style6c2d.css	(from https://www.cigna-baruffi-garelli.edu.it/)
17:56:34	10182/10182	---M--	200	added ('OK')	text/css	etag:%2227c6-63db893f75280%22	https://www.cigna-baruffi-garelli.edu.it/wp-content/themes/design-scuole-wordpress-theme-main/assets/css/fonts.css?ver=6.8.2	C:/Users/enric/OneDrive/Desktop/Nuova%20cartella/23/www.cigna-baruffi-garelli.edu.it/wp-content/themes/design-scuole-wordpress-theme-main/assets/css/fonts6c2d.css	(from https://www.cigna-baruffi-garelli.edu.it/)
